request_id,user_id,status_id,request_slip_id,lab_date,date_requested,lab_time,subject,instructor_id
1,8,5,86114,2025-10-27,2025-10-24 19:01:44.323,9:00,Baking,2
2,5,5,55998,2025-10-31,2025-10-28 03:11:37.058,11:00,Kitchen Etiquette,2
3,5,5,72760,2025-10-27,2025-10-24 19:19:46.138,16:00,OJT,2
4,5,5,90773,2025-10-28,2025-10-25 15:49:12.053,23:45,Wine Tasting,2
7,7,6,31126,2025-10-29,2025-10-26 18:41:16.912,14:45,Catering,2
8,7,5,37179,2025-10-27,2025-10-24 18:56:30.996,9:00,Salad Making,2
9,7,5,63806,2025-10-31,2025-10-28 03:21:07.089,11:00,Table,2
6,5,5,48863,2025-11-05,2025-11-02 18:13:34.776,9:00,Janitorial Duty,2
5,8,5,32448,2025-10-27,2025-10-24 19:09:21.075,9:00,Knife Handling,3
11,8,6,47736,2025-11-18,2025-11-15 08:44:06.945,09:00,Baking,2
10,5,5,91634,2025-11-18,2025-11-15 07:33:40.287,15:00,Baking,2
12,5,6,78193,2025-11-18,2025-11-15 10:03:23.603,08:00,Event Preparation,10
13,5,5,33087,2025-11-18,2025-11-15 11:07:37.689,08:00,Pasta Making,2
